PREVIEWS JULY VOL. 23 #7

PAGE 24					
PREVIEWS PUBLICATIONS					
	JUL13 0211	BATMAN BLACK & WHITE #1 (OF 6) WE CAN BE HEROES BLANK VAR ED	9/4/2013	SRP: $4.99	 = $
PAGE 117					
	JUL13 0212	BATMAN 66 #3	9/18/2013	SRP: $3.99	 = $
	JUL13 0214	ADVENTURES OF SUPERMAN #5	9/25/2013	SRP: $3.99	 = $
	JUL13 0215	ARROW #11	9/18/2013	SRP: $3.99	 = $
PAGE 118					
	JUL13 0216	DC UNIVERSE VS MASTERS OF THE UNIVERSE #2 (OF 6)	9/25/2013	SRP: $2.99	 = $
	JUL13 0217	BATMAN BEYOND UNIVERSE #2	9/18/2013	SRP: $3.99	 = $
	JUL13 0218	AME COMI GIRLS #7	9/4/2013	SRP: $3.99	 = $
	JUL13 0219	BATMAN ARKHAM UNHINGED #18	9/11/2013	SRP: $3.99	 = $
	JUL13 0220	BATMAN ARKHAM UNHINGED #18 VAR ED	9/11/2013	SRP: $3.99	 = $
